name,address,city,state,zip,latitude,longitude,website,top10perc,top25perc,sfratio,enrolled_total,average_tuition,perc_fresh_sat_scores,perc_fresh_act_scores,instate_price,outstate_price,gradrate_bachelor_four_years,gradrate_bachelor_five_years,gradrate_bachelor_six_years,perc_fresh_financialaid,undergraduate_enrollment,ft_enrollment,pt_enrollment,perc_americanindian_or_alaskanative_undergrad,perc_asian_undergrad,perc_blackafricanamerican_undergrad,perc_hispaniclatino_undergrad,perc_nativehawaiian_or_otherpacificislander_undergrad,perc_white_undergrad,perc_multiracial_undergrad,perc_raceunknown_undergrad,perc_nonresidentalien_undergrad,perc_asiannativehawaiianpacificislander_undergrad,perc_women_undergrad,far_west_region,great_lakes_region,mid_east_region,new_england_region,plains_region,rocky_mountains_region,southeast_region,southwest_region,us_service_schools_region,cluster
Abilene Christian University,1600 Campus Court,Abilene,TX,79699,32.468943,-99.709797,www.acu.edu,23,52,18.1,1030.0,25.7875,50.0,50.0,41800.0,41800.0,37.0,54.0,57.0,99.0,3727.0,3831.0,630.0,0,1.0,7.0,12.0,0.0,70.0,4.0,1.0,4.0,1.0,57.0,0,0,0,0,0,0,0,1,0,0
Adams State University,208 Edgemont Blvd,Alamosa,CO,81101,37.476053,-105.880943,www.adams.edu,,,,519.0,6.12375,16.0,90.0,19691.0,30323.0,12.0,21.0,25.0,92.0,2284.0,2185.0,1026.0,1,1.0,7.0,31.0,1.0,51.0,4.0,4.0,0.0,2.0,50.0,0,0,0,0,0,1,0,0,0,1
Adelphi University,South Ave,Garden City,NY,11530,40.721439,-73.653321,www.adelphi.edu,16,29,12.2,918.0,29.12,74.0,18.0,47110.0,47110.0,53.0,61.0,63.0,96.0,5040.0,6034.0,1611.0,0,8.0,11.0,13.0,0.0,53.0,2.0,9.0,4.0,8.0,69.0,0,0,1,0,0,0,0,0,0,2
Adrian College,110 S Madison St,Adrian,MI,49221,41.898449,-84.059947,www.adrian.edu,22,50,12.9,496.0,28.3135,2.0,85.0,42740.0,42740.0,39.0,53.0,54.0,98.0,1649.0,1591.0,67.0,0,1.0,10.0,2.0,0.0,75.0,4.0,8.0,0.0,1.0,49.0,0,1,0,0,0,0,0,0,0,0
Alabama A & M University,4900 Meridian Street,Normal,AL,35762,34.783368,-86.568502,www.aamu.edu/,,,,1104.0,6.748,15.0,88.0,21849.0,27441.0,10.0,23.0,29.0,97.0,4051.0,4439.0,581.0,0,0.0,95.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,51.0,0,0,0,0,0,0,1,0,0,1
Alabama State University,915 S Jackson Street,Montgomery,AL,36104,32.364317,-86.295677,www.alasu.edu/email/index.aspx,,,,1479.0,7.9745,18.0,87.0,18286.0,25222.0,9.0,19.0,25.0,93.0,5356.0,5182.0,893.0,0,0.0,93.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,59.0,0,0,0,0,0,0,1,0,0,1
Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,61.191235,-149.804242,www.alaskapacific.edu,16,44,11.9,33.0,28.2725,74.0,26.0,43180.0,43180.0,25.0,33.0,40.0,100.0,387.0,323.0,346.0,16,2.0,3.0,3.0,1.0,56.0,11.0,10.0,0.0,2.0,66.0,1,0,0,0,0,0,0,0,0,0
Albany State University,504 College Dr.,Albany,GA,31705,31.571895,-84.143393,www.asurams.edu/,,,,501.0,5.5825,70.0,56.0,19590.0,31792.0,16.0,35.0,42.0,99.0,3660.0,3241.0,1019.0,0,0.0,90.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,66.0,0,0,0,0,0,0,1,0,0,1
Albertus Magnus College,700 Prospect St,New Haven,CT,6511,41.332519,-72.923848,www.albertus.edu,17,45,11.5,132.0,26.851,95.0,0.0,47302.0,47302.0,0.0,15.0,43.0,83.0,1278.0,1469.0,113.0,0,1.0,28.0,14.0,0.0,45.0,1.0,11.0,0.0,1.0,65.0,0,0,0,1,0,0,0,0,0,0
Albion College,611 E Porter St,Albion,MI,49224,42.244603,-84.746088,www.albion.edu,37,68,13.7,346.0,33.52325,5.0,97.0,48195.0,48195.0,64.0,73.0,74.0,99.0,1307.0,1272.0,35.0,0,2.0,3.0,3.0,0.0,80.0,3.0,5.0,4.0,2.0,49.0,0,1,0,0,0,0,0,0,0,2
Albright College,1621 N. 13Th St.,Reading,PA,19612,40.361337,-75.909748,www.albright.edu,30,63,11.3,655.0,34.6775,64.0,11.0,49160.0,49160.0,48.0,53.0,54.0,99.0,2349.0,2315.0,69.0,1,3.0,16.0,9.0,0.0,62.0,1.0,6.0,3.0,3.0,58.0,0,0,1,0,0,0,0,0,0,2
