name,address,city,state,zip,latitude,longitude,website,average_tuition,top10perc,top25perc,sfratio
Abilene Christian University,1600 Campus Court,Abilene,TX,79699,32.468943,-99.709797,www.acu.edu,25.7875,23,52,18.1
Adams State University,208 Edgemont Blvd,Alamosa,CO,81101,37.476053,-105.880943,www.adams.edu,6.12375,,,
Adelphi University,South Ave,Garden City,NY,11530,40.721439,-73.653321,www.adelphi.edu,29.12,16,29,12.2
Adrian College,110 S Madison St,Adrian,MI,49221,41.898449,-84.059947,www.adrian.edu,28.3135,22,50,12.9
Alabama A & M University,4900 Meridian Street,Normal,AL,35762,34.783368,-86.568502,www.aamu.edu/,6.748,,,
Alabama State University,915 S Jackson Street,Montgomery,AL,36104,32.364317,-86.295677,www.alasu.edu/email/index.aspx,7.9745,,,
Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,61.191235,-149.804242,www.alaskapacific.edu,28.2725,16,44,11.9
Albany State University,504 College Dr.,Albany,GA,31705,31.571895,-84.143393,www.asurams.edu/,5.5825,,,
Albertus Magnus College,700 Prospect St,New Haven,CT,6511,41.332519,-72.923848,www.albertus.edu,26.851,17,45,11.5
Albion College,611 E Porter St,Albion,MI,49224,42.244603,-84.746088,www.albion.edu,33.52325,37,68,13.7
Albright College,1621 N. 13Th St.,Reading,PA,19612,40.361337,-75.909748,www.albright.edu,34.6775,30,63,11.3
Alcorn State University,1000 Asu Dr Ste 359,Alcorn State,MS,39096,31.877216,-91.142854,www.alcorn.edu,5.48125,,,
Alfred University,One Saxon Drive,Alfred,NY,14802,42.255866,-77.788625,www.alfred.edu,26.521,37,75,11.3
Alice Lloyd College,100 Purpose Rd,Pippa Passes,KY,41844,37.335087,-82.875068,www.alc.edu,9.955,,,
Alma College,614 W Superior,Alma,MI,48801,43.379236,-84.670073,www.alma.edu,30.1075,44,73,15.3
Alvernia University,400 Saint Bernardine St,Reading,PA,19607,40.310028,-75.936754,www.alvernia.edu,27.28,,,
Alverno College,3400 S 43Rd  St,Milwaukee,WI,53234,42.982842,-87.965174,www.alverno.edu,21.6215,23,46,11.1
American International College,1000 State Street,Springfield,MA,1109,42.112708,-72.558507,www.aic.edu,28.45,9,22,14.7
American University,4400 Massachusetts Ave Nw,Washington,DC,20016,38.936981,-77.088785,www.american.edu,38.729,,,
Anderson University,1100 E 5Th St,Anderson,IN,46012,40.112162,-85.66342,www.anderson.edu,25.1125,19,40,12.1
Anderson University,1100 E 5Th St,Anderson,IN,46012,40.112162,-85.66342,www.anderson.edu,25.1125,19,40,12.1
Andrews University,"4150 Administration Drive, Room 136",Berrien Springs,MI,49104,41.962449,-86.357045,www.andrews.edu,23.9045,14,23,11.5
Angelo State University,2601 W. Avenue N,San Angelo,TX,76909,31.441098,-100.46641,www.angelo.edu,6.19225,24,54,23.1
