Name,CollegeID,State_Abbreviation,State
Alabama A & M University,1,Alabama,1
University Of Alabama At Birmingham,2,Alabama,1
University Of Alabama In Huntsville,3,Alabama,1
Alabama State University,4,Alabama,1
The University Of Alabama,5,Alabama,1
Auburn University At Montgomery,6,Alabama,1
Auburn University,7,Alabama,1
Birmingham Southern College,8,Alabama,1
Huntingdon College,9,Alabama,1
Jacksonville State University,10,Alabama,1
University Of West Alabama,11,Alabama,1
University Of Mobile,12,Alabama,1
University Of Montevallo,13,Alabama,1
University Of North Alabama,14,Alabama,1
Oakwood University,15,Alabama,1
Samford University,16,Alabama,1
University Of South Alabama,17,Alabama,1
Spring Hill College,18,Alabama,1
Troy University,19,Alabama,1
Tuskegee University,20,Alabama,1
Alaska Pacific University,21,Alaska,2
Arizona State University-Tempe,22,Arizona,3
University Of Arizona,23,Arizona,3
Embry-Riddle Aeronautical University-Prescott,24,Arizona,3
Northern Arizona University,25,Arizona,3
Arizona Christian University,26,Arizona,3
University Of Arkansas At Little Rock,27,Arkansas,4
Lyon College,28,Arkansas,4
University Of Arkansas,29,Arkansas,4
University Of Arkansas At Pine Bluff,30,Arkansas,4
Arkansas State University-Main Campus,31,Arkansas,4
Arkansas Tech University,32,Arkansas,4
University Of Central Arkansas,33,Arkansas,4
Harding University,34,Arkansas,4
Henderson State University,35,Arkansas,4
Hendrix College,36,Arkansas,4
John Brown University,37,Arkansas,4
Ouachita Baptist University,38,Arkansas,4
University Of The Ozarks,39,Arkansas,4
Williams Baptist College,40,Arkansas,4
Southern Arkansas University Main Campus,41,Arkansas,4
University Of Arkansas-Fort Smith,42,Arkansas,4
Azusa Pacific University,43,California,5
Biola University,44,California,5
California Baptist University,45,California,5
California Institute Of Technology,46,California,5
California Lutheran University,47,California,5
California Polytechnic State University-San Luis Obispo,48,California,5
California State University-Bakersfield,49,California,5
California State University-Stanislaus,50,California,5
California State University-San Bernardino,51,California,5
California State Polytechnic University-Pomona,52,California,5
California State University-Chico,53,California,5
California State University-Dominguez Hills,54,California,5
California State University-Fresno,55,California,5
California State University-Fullerton,56,California,5
California State University-East Bay,57,California,5
California State University-Long Beach,58,California,5
California State University-Los Angeles,59,California,5
California State University-Northridge,60,California,5
California State University-Sacramento,61,California,5
University Of California-Berkeley,62,California,5
University Of California-Davis,63,California,5
University Of California-Irvine,64,California,5
University Of California-Los Angeles,65,California,5
University Of California-Riverside,66,California,5
University Of California-San Diego,67,California,5
University Of California-Santa Barbara,68,California,5
University Of California-Santa Cruz,69,California,5
California Maritime Academy,70,California,5
