,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,WEBSITE
0,Shorter College,604 Locust St,N Little Rock,AR,72114,(501) 374-6305 ext 107,2,R,70,Pulaski,US,34.759308,-92.26049,www.shortercollege.org/
1,Citrus Heights Beauty College,7518 Baird Way,Citris Heights,CA,95610,(916) 725-6861 ext 1,3,R,39,Sacramento,US,38.713353,-121.289431,www.chbeautycollege.com
2,Joe Blasco Makeup Artist Training Center,1670 Hillhurst Avenue,Los Angeles,CA,90027,(323) 467-4949,3,R,35,Los Angeles,US,34.101481,-118.28707,www.joeblasco.com
3,Waynes College of Beauty,1271 North Main Street,Salinas,CA,93906,(831) 443-4077,3,R,43,Monterey,US,36.700631,-121.652662,www.waynescollegeofbeauty.com
4,Hult International Business School,1 Education Street,Cambridge,MA,2141,(617) 746-1990,2,R,2386,Middlesex,US,42.36993,-71.070737,www.hult.edu
5,Vogue College of Cosmetology,1601 St Michael's Dr Ste A,Santa Fe,NM,87505,(505) 473-5552,3,R,46,Santa Fe,US,35.659789,-105.975299,voguebeautycollege.com
6,Vogue College - McAllen,800 Fern Avenue,McAllen,TX,78501,(956) 687-6149,3,R,159,Hidalgo,US,26.232656,-98.223022,voguebeautycollege.com
7,Montana Bible College,3625 S 19th Ave,Bozeman,MT,59718,(406) 586-3585,2,R,147,Gallatin,US,45.655524,-111.064143,www.montanabiblecollege.edu
8,KC's School of Hair Design,152 Highway 15 North,Pontotoc,MS,38863,(662) 489-8176,3,R,57,Pontotoc,US,34.255561,-89.017408,www.kcsschoolofhair.com
9,Colton-Redlands-Yucaipa Regional Occupational Program,1214 Indiana Ct,Redlands,CA,92374,(909) 793-3115,1,R,231,San Bernardino,US,34.06829,-117.204959,www.cryrop.org
10,Cheveux School of Hair Design,4781-1 Gum Branch Road,Jacksonville,NC,28540,(910) 455-5767,3,R,7,Onslow,US,34.831301,-77.461299,NOT AVAILABLE
11,Watson School of Biological Sciences at Cold Spring Harbor Laboratory,1 Bungtown Rd,Cold Spring Harbor,NY,11724,(516) 367-6890,2,R,9,Nassau,US,40.867183,-73.472293,www.cshl.edu/gradschool/
