name,address,city,state,zip,latitude,longitude,website
Shorter College,604 Locust St,N Little Rock,AR,72114,34.759308,-92.26049,www.shortercollege.org/
Citrus Heights Beauty College,7518 Baird Way,Citris Heights,CA,95610,38.713353,-121.289431,www.chbeautycollege.com
Joe Blasco Makeup Artist Training Center,1670 Hillhurst Avenue,Los Angeles,CA,90027,34.101481,-118.28707,www.joeblasco.com
Waynes College Of Beauty,1271 North Main Street,Salinas,CA,93906,36.700631,-121.652662,www.waynescollegeofbeauty.com
Hult International Business School,1 Education Street,Cambridge,MA,2141,42.36993,-71.070737,www.hult.edu
Vogue College Of Cosmetology,1601 St Michael'S Dr Ste A,Santa Fe,NM,87505,35.659789,-105.975299,voguebeautycollege.com
Vogue College - Mcallen,800 Fern Avenue,Mcallen,TX,78501,26.232656,-98.223022,voguebeautycollege.com
Montana Bible College,3625 S 19Th Ave,Bozeman,MT,59718,45.655524,-111.064143,www.montanabiblecollege.edu
Kc'S School Of Hair Design,152 Highway 15 North,Pontotoc,MS,38863,34.255561,-89.017408,www.kcsschoolofhair.com
Colton-Redlands-Yucaipa Regional Occupational Program,1214 Indiana Ct,Redlands,CA,92374,34.06829,-117.204959,www.cryrop.org
Cheveux School Of Hair Design,4781-1 Gum Branch Road,Jacksonville,NC,28540,34.831301,-77.461299,not available
Watson School Of Biological Sciences At Cold Spring Harbor Laboratory,1 Bungtown Rd,Cold Spring Harbor,NY,11724,40.867183,-73.472293,www.cshl.edu/gradschool/
American College Of Healthcare Sciences,5940 Sw Hood Ave,Portland,OR,97239,45.480384,-122.674533,www.achs.edu
Universal Technical Institute - Dallas Fort Worth,5151 Regents Blvd,Irving,TX,75063,32.938104,-97.012679,www.uti.edu
International Culinary Center-California,700 West Hamilton Avenue,Campbell,CA,95008,37.293625,-121.961475,www.internationalculinarycenter.com
Milan Institute-Las Vegas,710 South Tonopah,Las Vegas,NV,89106,36.161934,-115.170641,www.milaninstitute.edu
Virginia College-Savannah,"14045 Abercorn Street, Suite 1503",Savannah,GA,31419,31.98358,-81.171154,not available
Virginia College-Columbus,5601 Veterans Parkway,Columbus,GA,31904,32.524114,-84.963872,not available
Donna'S Academy Of Hair Design,14454 North Us Highway 169,Smithville,MO,64089,39.355842,-94.584916,www.donnashairacademymo.com
New York School Of Esthetics & Day Spa,14 North Broadway,Tarrytown,NY,10591,41.076665,-73.857795,www.newyorkschoolofesthetics.com
Panache Academy Of Beauty,232 Water Street,Baraboo,WI,53913,43.466987,-89.739243,panacheacademyofbeauty.com
Finger Lakes Health College Of Nursing,196 North Street,Geneva,NY,14456,42.876431,-76.98784,www.flhealth.org
Asi Career Institute,5360 Black Horse Pike,Turnersville,NJ,8012,39.755753,-75.046217,asi.edu
Chicago School For Piano Technology (The),2041 West Carroll Avenue,Chicago,IL,60612,41.887443,-87.678394,pianotechschool.com
Midwest Technical Institute,113 Market Ridge Drive,Ridgeland,MS,39157,32.402516,-90.178196,deltatechnicalcollege.com/
Christine Valmy International School Of Esthetics & Cosmetology,285 Changebridge Road,Pine Brook,NJ,7058,40.868977,-74.358329,www.christinevalmy.com
City College-Hollywood,6565 Taft Street,Hollywood,FL,33024,26.02527,-80.219967,www.citycollege.edu
Paul Mitchell The School-Arlington,"309 Curtis Mathes Way, #101",Arlington,TX,76018,32.680745,-97.107189,school.paulmitchell.edu/arlington-tx/
Rocky Mountain University Of Health Professions,561 East 1860 South,Provo,UT,84606,40.209606,-111.649325,www.rmuohp.edu
Mediatech Institute-Oceanside,302 Oceanside Boulevard,Oceanside,CA,92054,33.183038,-117.370735,www.mediatech.edu
Christie'S Education,"11 West 42Nd Street, 8Th Floor",New York,NY,10036,40.754185,-73.981689,www.christies.edu
Prince Institute Of Professional Studies,"1300 E. Woodfield Road, Ste 110",Schaumburg,IL,60173,42.043663,-88.046181,www.princeinstitute.edu
Palmetto Beauty School,2601 East Main Street,Spartanburg,SC,29307,34.978432,-81.871071,www.palmettocosmo.com
Paul Mitchell The School-Fort Myers,9941 Interstate Commerce Drive,Fort Myers,FL,33907,26.495581,-81.792422,fort-myers.paulmitchell.edu/fort-myers-fl
Paul Mitchell The School Raleigh,8551 Glenwood Avenue Suite 100,Raleigh,NC,27612,35.882566,-78.740471,raleigh.paulmitchell.edu/raleigh-nc
