,CollegeID,State,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,"Estimated enrollment, total","Estimated enrollment, full time","Estimated enrollment, part time","Estimated undergraduate enrollment, total","Estimated undergraduate enrollment, full time","Estimated undergraduate enrollment, part time","Estimated freshman undergraduate enrollment, total","Estimated freshman enrollment, full time","Estimated freshman enrollment, part time","Estimated graduate enrollment, total","Estimated graduate enrollment, full time","Estimated graduate enrollment, part time",Number of students receiving an Associate's degree,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of total enrollment that are American Indian or Alaska Native,Percent of total enrollment that are Asian,Percent of total enrollment that are Black or African American,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,Percent of total enrollment that are White,Percent of total enrollment that are two or more races,Percent of total enrollment that are Race/ethnicity unknown,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of total enrollment that are women,Percent of undergraduate enrollment that are American Indian or Alaska Native,Percent of undergraduate enrollment that are Asian,Percent of undergraduate enrollment that are Black or African American,Percent of undergraduate enrollment that are Hispanic/Latino,Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of undergraduate enrollment that are White,Percent of undergraduate enrollment that are two or more races,Percent of undergraduate enrollment that are Race/ethnicity unknown,Percent of undergraduate enrollment that are Nonresident Alien,Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of undergraduate enrollment that are women,"Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 5 years, total","Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,Control of institution_Private not-for-profit,Control of institution_Public,Geographic region_Far West AK CA HI NV OR WA,Geographic region_Great Lakes IL IN MI OH WI,Geographic region_Mid East DE DC MD NJ NY PA,Geographic region_New England CT ME MA NH RI VT,Geographic region_Plains IA KS MN MO NE ND SD,Geographic region_Rocky Mountains CO ID MT UT WY,Geographic region_Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Geographic region_Southwest AZ NM OK TX,Geographic region_US Service schools,average tuition
0,1,1,6142.0,5521.0,1104.0,15.0,88.0,5024.0,4442.0,582.0,4055.0,3802.0,253.0,1104.0,1089.0,15.0,969.0,640.0,329.0,0.0,90.0,20.0,21849.0,27441.0,5020.0,4439.0,581.0,4051.0,3799.0,252.0,0.0,1.0,92.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,55.0,0.0,0.0,95.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,51.0,10.0,23.0,29.0,97.0,89.0,81.0,81.0,7.0,1.0,32.0,89.0,89.0,1.0,0,1,0,0,0,0,0,0,1,0,0,6748.0
1,2,1,5689.0,4934.0,1773.0,6.0,93.0,18568.0,11961.0,6607.0,11502.0,8357.0,3145.0,1773.0,1732.0,41.0,7066.0,3604.0,3462.0,0.0,87.0,36.0,22495.0,31687.0,18568.0,11961.0,6607.0,11502.0,8357.0,3145.0,0.0,5.0,21.0,3.0,0.0,64.0,3.0,1.0,3.0,5.0,61.0,0.0,5.0,26.0,3.0,0.0,60.0,3.0,1.0,2.0,5.0,58.0,29.0,46.0,53.0,90.0,79.0,36.0,36.0,10.0,0.0,60.0,56.0,55.0,5.0,0,1,0,0,0,0,0,0,1,0,0,6518.5
3,3,1,2054.0,1656.0,651.0,34.0,94.0,7376.0,4802.0,2574.0,5696.0,4237.0,1459.0,651.0,638.0,13.0,1680.0,565.0,1115.0,0.0,81.0,39.0,23466.0,35780.0,7376.0,4802.0,2574.0,5696.0,4237.0,1459.0,1.0,4.0,12.0,3.0,0.0,69.0,1.0,3.0,6.0,4.0,44.0,1.0,4.0,13.0,3.0,0.0,70.0,2.0,3.0,4.0,4.0,44.0,16.0,37.0,48.0,87.0,77.0,31.0,31.0,4.0,1.0,63.0,46.0,46.0,3.0,0,1,0,0,0,0,0,0,1,0,0,8393.0
4,4,1,10245.0,5251.0,1479.0,18.0,87.0,6076.0,5183.0,893.0,5357.0,4873.0,484.0,1542.0,1517.0,25.0,719.0,310.0,409.0,0.0,51.0,28.0,18286.0,25222.0,6075.0,5182.0,893.0,5356.0,4872.0,484.0,0.0,0.0,91.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,61.0,0.0,0.0,93.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,59.0,9.0,19.0,25.0,93.0,87.0,76.0,76.0,13.0,11.0,34.0,81.0,81.0,0.0,0,1,0,0,0,0,0,0,1,0,0,7974.5
5,5,1,30975.0,17515.0,6454.0,23.0,76.0,34752.0,29498.0,5254.0,29440.0,26548.0,2892.0,6478.0,6452.0,26.0,5312.0,2950.0,2362.0,0.0,57.0,37.0,27000.0,41500.0,34752.0,29498.0,5254.0,29440.0,26548.0,2892.0,0.0,1.0,11.0,3.0,0.0,77.0,2.0,0.0,4.0,1.0,55.0,0.0,1.0,11.0,3.0,0.0,78.0,2.0,0.0,4.0,1.0,54.0,43.0,62.0,67.0,75.0,60.0,20.0,18.0,4.0,3.0,50.0,42.0,41.0,8.0,0,1,0,0,0,0,0,0,1,0,0,8787.5
7,6,1,1958.0,1639.0,579.0,0.0,54.0,5096.0,3223.0,1873.0,4334.0,2999.0,1335.0,579.0,519.0,60.0,762.0,224.0,538.0,0.0,84.0,35.0,17820.0,34020.0,5084.0,3223.0,1861.0,4322.0,2999.0,1323.0,0.0,2.0,30.0,1.0,0.0,53.0,0.0,9.0,5.0,2.0,63.0,0.0,2.0,30.0,1.0,0.0,55.0,0.0,6.0,4.0,2.0,62.0,10.0,22.0,27.0,90.0,67.0,48.0,48.0,5.0,5.0,48.0,36.0,36.0,0.0,0,1,0,0,0,0,0,0,1,0,0,7775.0
8,7,1,15745.0,13027.0,3726.0,17.0,83.0,24864.0,21093.0,3771.0,19799.0,18011.0,1788.0,3726.0,3696.0,30.0,5065.0,3082.0,1983.0,0.0,83.0,29.0,25282.0,41794.0,24864.0,21093.0,3771.0,19799.0,18011.0,1788.0,1.0,2.0,7.0,2.0,0.0,81.0,0.0,1.0,5.0,2.0,49.0,1.0,2.0,7.0,3.0,0.0,85.0,0.0,1.0,1.0,2.0,49.0,38.0,63.0,68.0,76.0,68.0,13.0,13.0,3.0,1.0,65.0,32.0,31.0,3.0,0,1,0,0,0,0,0,0,1,0,0,8974.0
9,8,1,1931.0,1240.0,356.0,32.0,82.0,1188.0,1167.0,21.0,1188.0,1167.0,21.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,64.0,29.0,45470.0,45470.0,1188.0,1167.0,21.0,1188.0,1167.0,21.0,1.0,4.0,9.0,3.0,0.0,81.0,1.0,1.0,0.0,4.0,46.0,1.0,4.0,9.0,3.0,0.0,81.0,1.0,1.0,0.0,4.0,46.0,53.0,60.0,62.0,98.0,97.0,21.0,21.0,9.0,26.0,96.0,80.0,80.0,7.0,1,0,0,0,0,0,0,0,1,0,0,29640.0
12,9,1,1470.0,923.0,261.0,16.0,93.0,1100.0,898.0,202.0,1100.0,898.0,202.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,63.0,28.0,33885.0,33885.0,1110.0,902.0,208.0,1110.0,902.0,208.0,1.0,1.0,19.0,2.0,0.0,58.0,3.0,16.0,0.0,1.0,50.0,1.0,1.0,19.0,2.0,0.0,58.0,3.0,16.0,0.0,1.0,50.0,30.0,40.0,43.0,100.0,100.0,48.0,48.0,16.0,53.0,99.0,78.0,77.0,10.0,1,0,0,0,0,0,0,0,1,0,0,22245.0
13,10,1,3083.0,2567.0,1158.0,18.0,89.0,8693.0,5982.0,2711.0,7588.0,5779.0,1809.0,1158.0,1142.0,16.0,1105.0,203.0,902.0,0.0,83.0,45.0,21237.0,28029.0,8693.0,5982.0,2711.0,7588.0,5779.0,1809.0,1.0,1.0,25.0,1.0,0.0,66.0,0.0,3.0,2.0,1.0,58.0,1.0,1.0,25.0,1.0,0.0,66.0,0.0,4.0,2.0,1.0,58.0,10.0,25.0,31.0,93.0,83.0,48.0,48.0,11.0,21.0,55.0,57.0,56.0,2.0,0,1,0,0,0,0,0,0,1,0,0,6249.0
