CollegeID,State,Applicants_total,Enrolled_total,Perc_Fresh_SAT_Scores,Perc_Fresh_ACT_Scores,Instate_Price,Outstate_Price,Total_enrollment,FT_enrollment,PT_enrollment,Undergraduate_enrollment,FT_undergrad_enrollment,PT_undergrad_enrollment,Perc_AmericanIndian_or_AlaskaNative_undergrad,Perc_Asian_undergrad,Perc_BlackAfricanAmerican_Undergrad,Perc_HispanicLatino_undergrad,Perc_NativeHawaiian_or_OtherPacificIslander_undergrad,Perc_White_undergrad,Perc_Multiracial_undergrad,Perc_RaceUnknown_undergrad,Perc_NonresidentAlien_undergrad,Perc_AsianNativeHawaiianPacificIslander_undergrad,Perc_women_undergrad,Gradrate_Bachelor_four_years,Gradrate_Bachelor_five_years,Gradrate_Bachelor_six_years,Perc_Fresh_FinancialAid,Private,Public,Far_West_Region,Great_Lakes_Region,Mid_East_Region,New_England_Region,Plains_Region,Rocky_Mountains_Region,Southeast_Region,Southwest_Region,US_Service_Schools_Region,average_tuition
1,1,6142.0,1104.0,15.0,88.0,21849.0,27441.0,5020.0,4439.0,581.0,4051.0,3799.0,252.0,0.0,0.0,95.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,51.0,10.0,23.0,29.0,97.0,0,1,0,0,0,0,0,0,1,0,0,6.748
2,1,5689.0,1773.0,6.0,93.0,22495.0,31687.0,18568.0,11961.0,6607.0,11502.0,8357.0,3145.0,0.0,5.0,26.0,3.0,0.0,60.0,3.0,1.0,2.0,5.0,58.0,29.0,46.0,53.0,90.0,0,1,0,0,0,0,0,0,1,0,0,6.5185
3,1,2054.0,651.0,34.0,94.0,23466.0,35780.0,7376.0,4802.0,2574.0,5696.0,4237.0,1459.0,1.0,4.0,13.0,3.0,0.0,70.0,2.0,3.0,4.0,4.0,44.0,16.0,37.0,48.0,87.0,0,1,0,0,0,0,0,0,1,0,0,8.393
4,1,10245.0,1479.0,18.0,87.0,18286.0,25222.0,6075.0,5182.0,893.0,5356.0,4872.0,484.0,0.0,0.0,93.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,59.0,9.0,19.0,25.0,93.0,0,1,0,0,0,0,0,0,1,0,0,7.9745
5,1,30975.0,6454.0,23.0,76.0,27000.0,41500.0,34752.0,29498.0,5254.0,29440.0,26548.0,2892.0,0.0,1.0,11.0,3.0,0.0,78.0,2.0,0.0,4.0,1.0,54.0,43.0,62.0,67.0,75.0,0,1,0,0,0,0,0,0,1,0,0,8.7875
6,1,1958.0,579.0,0.0,54.0,17820.0,34020.0,5084.0,3223.0,1861.0,4322.0,2999.0,1323.0,0.0,2.0,30.0,1.0,0.0,55.0,0.0,6.0,4.0,2.0,62.0,10.0,22.0,27.0,90.0,0,1,0,0,0,0,0,0,1,0,0,7.775
7,1,15745.0,3726.0,17.0,83.0,25282.0,41794.0,24864.0,21093.0,3771.0,19799.0,18011.0,1788.0,1.0,2.0,7.0,3.0,0.0,85.0,0.0,1.0,1.0,2.0,49.0,38.0,63.0,68.0,76.0,0,1,0,0,0,0,0,0,1,0,0,8.974
8,1,1931.0,356.0,32.0,82.0,45470.0,45470.0,1188.0,1167.0,21.0,1188.0,1167.0,21.0,1.0,4.0,9.0,3.0,0.0,81.0,1.0,1.0,0.0,4.0,46.0,53.0,60.0,62.0,98.0,1,0,0,0,0,0,0,0,1,0,0,29.64
9,1,1470.0,261.0,16.0,93.0,33885.0,33885.0,1110.0,902.0,208.0,1110.0,902.0,208.0,1.0,1.0,19.0,2.0,0.0,58.0,3.0,16.0,0.0,1.0,50.0,30.0,40.0,43.0,100.0,1,0,0,0,0,0,0,0,1,0,0,22.245
10,1,3083.0,1158.0,18.0,89.0,21237.0,28029.0,8693.0,5982.0,2711.0,7588.0,5779.0,1809.0,1.0,1.0,25.0,1.0,0.0,66.0,0.0,4.0,2.0,1.0,58.0,10.0,25.0,31.0,93.0,0,1,0,0,0,0,0,0,1,0,0,6.249
11,1,462.0,380.0,0.0,100.0,18162.0,24672.0,4427.0,3890.0,537.0,1999.0,1696.0,303.0,0.0,1.0,42.0,2.0,0.0,43.0,1.0,6.0,5.0,1.0,57.0,18.0,28.0,30.0,95.0,0,1,0,0,0,0,0,0,1,0,0,7.1055
12,1,866.0,259.0,13.0,87.0,32570.0,32570.0,1610.0,1288.0,322.0,1481.0,1257.0,224.0,2.0,1.0,22.0,1.0,0.0,65.0,2.0,5.0,3.0,1.0,67.0,33.0,47.0,49.0,93.0,1,0,0,0,0,0,0,0,1,0,0,17.5275
13,1,1385.0,531.0,3.0,96.0,23340.0,33030.0,3062.0,2526.0,536.0,2618.0,2350.0,268.0,1.0,1.0,14.0,2.0,0.0,74.0,2.0,6.0,1.0,1.0,66.0,24.0,39.0,45.0,88.0,0,1,0,0,0,0,0,0,1,0,0,8.8875
14,1,2542.0,970.0,3.0,96.0,16933.0,22525.0,6931.0,5133.0,1798.0,5881.0,4795.0,1086.0,1.0,0.0,13.0,2.0,0.0,72.0,2.0,4.0,5.0,1.0,57.0,12.0,27.0,32.0,82.0,0,1,0,0,0,0,0,0,1,0,0,6.279
15,1,2728.0,409.0,47.0,58.0,36295.0,36295.0,1903.0,1810.0,93.0,1861.0,1771.0,90.0,0.0,0.0,85.0,2.0,0.0,1.0,0.0,3.0,8.0,0.0,57.0,19.0,31.0,37.0,94.0,1,0,0,0,0,0,0,0,1,0,0,15.144
16,1,3447.0,765.0,36.0,84.0,40900.0,40900.0,4833.0,4361.0,472.0,3013.0,2850.0,163.0,0.0,1.0,7.0,7.0,0.0,81.0,1.0,0.0,3.0,1.0,65.0,49.0,64.0,69.0,98.0,1,0,0,0,0,0,0,0,1,0,0,24.34575
17,1,4814.0,1878.0,8.0,92.0,19980.0,26628.0,15065.0,12028.0,3037.0,11307.0,8767.0,2540.0,1.0,3.0,22.0,2.0,0.0,64.0,2.0,2.0,3.0,4.0,57.0,14.0,27.0,33.0,91.0,0,1,0,0,0,0,0,0,1,0,0,6.39
18,1,6596.0,431.0,20.0,92.0,46170.0,46170.0,1422.0,1210.0,212.0,1292.0,1205.0,87.0,1.0,1.0,16.0,9.0,0.0,67.0,2.0,4.0,1.0,1.0,60.0,47.0,55.0,56.0,100.0,1,0,0,0,0,0,0,0,1,0,0,28.791
19,1,5946.0,2087.0,7.0,38.0,18228.0,24564.0,20573.0,10334.0,10239.0,16316.0,9141.0,7175.0,1.0,1.0,37.0,3.0,0.0,49.0,2.0,5.0,3.0,1.0,62.0,13.0,29.0,36.0,78.0,0,1,0,0,0,0,0,0,1,0,0,6.598
20,1,10022.0,650.0,43.0,75.0,32853.0,32853.0,3118.0,2954.0,164.0,2584.0,2468.0,116.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,58.0,17.0,36.0,44.0,96.0,1,0,0,0,0,0,0,0,1,0,0,18.105
21,2,494.0,33.0,74.0,26.0,43180.0,43180.0,669.0,323.0,346.0,387.0,245.0,142.0,16.0,2.0,3.0,3.0,1.0,56.0,11.0,10.0,0.0,2.0,66.0,25.0,33.0,40.0,100.0,1,0,1,0,0,0,0,0,0,0,0,28.2725
22,3,21770.0,7171.0,64.0,51.0,23837.0,37630.0,48702.0,42498.0,6204.0,38730.0,34989.0,3741.0,1.0,7.0,4.0,18.0,0.0,57.0,4.0,1.0,7.0,7.0,44.0,38.0,55.0,59.0,91.0,0,1,0,0,0,0,0,0,0,1,0,9.35925
