Name,Top10perc,Top25perc,SFRatio
Abilene Christian University,23,52,18.1
Adelphi University,16,29,12.2
Adrian College,22,50,12.9
Agnes Scott College,60,89,7.7
Alaska Pacific University,16,44,11.9
Albertson College,38,62,9.4
Albertus Magnus College,17,45,11.5
Albion College,37,68,13.7
Albright College,30,63,11.3
Alderson-Broaddus College,21,44,11.5
Alfred University,37,75,11.3
Allegheny College,44,77,9.9
Allentown Coll. Of St. Francis De Sales,38,64,13.3
Alma College,44,73,15.3
Alverno College,23,46,11.1
American International College,9,22,14.7
Amherst College,83,96,8.4
Anderson University,19,40,12.1
Andrews University,14,23,11.5
Angelo State University,24,54,23.1
Antioch University,25,44,11.3
Appalachian State University,20,63,18.3
Aquinas College,20,51,12.7
Arizona State University Main Campus,24,49,18.9
Arkansas College (Lyon College),46,74,12.6
Arkansas Tech University,12,52,19.6
Assumption College,23,59,13.8
Auburn University-Main Campus,25,57,16.7
Augsburg College,12,30,12.8
Augustana College Il,36,69,12.7
Augustana College,21,58,10.4
Austin College,42,74,13.0
Averett College,16,40,22.4
Baker University,21,47,11.0
Baldwin-Wallace College,30,61,17.6
Barat College,15,36,9.7
Bard College,50,85,10.4
Barnard College,53,95,10.3
Barry University,18,45,12.6
Baylor University,34,66,18.5
Beaver College,23,56,12.2
Bellarmine College,39,63,13.1
Belmont Abbey College,17,36,13.2
Belmont University,28,67,11.1
Beloit College,26,54,11.1
Bemidji State University,12,36,19.6
Benedictine College,14,24,14.1
Bennington College,25,53,10.1
Bentley College,20,60,17.5
Berry College,37,68,16.3
Bethany College,16,41,11.6
Bethel College Ks,19,42,8.8
Bethel College,11,28,11.7
Bethune Cookman College,12,30,13.8
Birmingham-Southern College,67,88,14.0
Blackburn College,25,55,14.3
Bloomsburg Univ. Of Pennsylvania,15,55,18.0
Bluefield College,15,30,17.8
Bluffton College,20,50,13.3
Boston University,45,80,11.9
Bowdoin College,76,100,11.2
Bowling Green State University,14,45,21.1
Bradford College,5,36,10.2
Bradley University,30,58,14.4
Brandeis University,48,77,9.8
Brenau University,12,41,13.7
Brewton-Parker College,10,26,12.6
Briar Cliff College,16,44,13.1
Bridgewater College,22,53,13.2
Brigham Young University At Provo,48,82,20.5
Brown University,87,95,7.6
Bryn Mawr College,71,95,12.3
Bucknell University,49,85,14.2
Buena Vista College,32,70,8.8
Butler University,40,68,10.9
Cabrini College,8,28,16.5
Caldwell College,17,42,13.9
California Lutheran University,23,52,12.4
California Polytechnic-San Luis,47,73,19.8
California State University At Fresno,5,60,21.2
Calvin College,29,56,14.8
Campbell University,20,54,21.8
Campbellsville College,25,55,17.7
Canisius College,16,34,14.6
Capital University,34,66,12.1
Capitol College,10,52,12.1
Carleton College,75,93,10.4
Carnegie Mellon University,60,89,9.2
Carroll College,19,55,17.8
Carson-Newman College,27,62,13.6
Carthage College,20,43,15.9
Case Western Reserve University,71,93,2.9
Castleton State College,9,22,14.7
Catawba College,13,34,13.5
Catholic University Of America,24,49,9.3
Cazenovia College,9,35,14.3
Cedar Crest College,25,58,11.7
Cedarville College,25,55,15.3
Centenary College,12,46,9.5
Centenary College Of Louisiana,35,55,11.3
Center For Creative Studies,1,20,6.8
